Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00963614954335565,0.00016786624100977,0.044860101664403,0,0,0,0.487153985946125,0.000448116331022417,5.78111047127811E-07,1.54743135248644E-05,0.000492511294798627,-4.11935494337721E-07,0.000552986424582884,0,0,0,0,0,0,package://NERO20251209URDF/meshes/base_link.STL,0.592156862745098,0.619607843137255,0.650980392156863,1,0,0,0,0,0,0,package://NERO20251209URDF/meshes/base_link.STL,,M-JXB2-137002-C-1;M-JXB2-130042-E-1;M-JXB2-137046-C-1;7轴主控带网口工控机-1;内固是1B4芯7-2;拇指天线-1;插座7-1;M-JXB2-130110-B-2,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.000715896252246681,0.000898556742748309,-0.0252517626006055,0,0,0,0.24545463218233,0.00011319361616663,6.05951634198749E-07,7.40786266784068E-07,0.000125764803621739,3.74212053006065E-07,0.000127643109947032,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link1.STL,0.592156862745098,0.619607843137255,0.650980392156863,1,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link1.STL,,M-JXB2-137052-A-1;M-JXB2-137004-C-1;M-JXB2-137047-B-1;M-JXB2-137005-C-1;5416.63V1.0-4/M-JXB2-130089-E-2;5416.63V1.0-4/M-JXB2-130074-E-1;5416.63V1.0-4/M-JXB2-130090-C-1;5416.63V1.0-4/M-JXB2-130073-F-1,坐标系2,基准轴1,joint1,revolute,0,0,0.138,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
Link2,0.00150006271332911,-0.0864806891090517,0.00233256198231633,0,0,0,0.340250343180855,0.00114692547593191,7.82238855198332E-06,3.0883652252364E-07,0.000213355266074738,-8.94550878113609E-07,0.00125153113572145,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,0.875,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link2.STL,,M-JXB2-137056-C-1;M-JXB2-137055-C-1;M-JXB2-137008-D-1;M-JXB2-137025-D-1;M-JXB2-137024-D-1,坐标系3,基准轴2,joint2,revolute,0,0,0,1.5708,1.5708,0,Link1,0,0,0,0,0,0,0,,,,,,,,
Link3,0.000329369340537011,0.000367393742880216,-0.0912010032043437,0,0,0,0.359899395208716,0.000326426459526899,-7.9589690370858E-08,-3.20254640955194E-06,0.000359922429421077,-1.4226909768486E-06,9.50921751679351E-05,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link3.STL,0.592156862745098,0.619607843137255,0.650980392156863,1,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link3.STL,,M-JXB2-137009-D-1;M-JXB2-137010-D-1;M-JXB2-137057-B-1;M-JXB2-137058-B-1;M-JXB2-137011-D-1;M-JXB2-137012-D-1;4315-40-3/M-JXB2-130120-B-1;4315-40-3/M-JXB2-130119-K-1;4315-40-3/M-JXB2-130130-G-3,坐标系4,基准轴3,joint3,revolute,0,-0.31,0,-1.5708,0,3.1416,Link2,0,0,0,0,0,0,0,,,,,,,,
Link4,-0.00090948139479044,-0.0503071433133058,0.00916295451944902,0,0,0,0.164135315169796,0.000174183260832447,3.85077059441721E-06,-1.54723760900631E-07,6.55376510796343E-05,-2.08112584342887E-06,0.000198941180189116,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link4.STL,0.592156862745098,0.619607843137255,0.650980392156863,1,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link4.STL,,M-JXB2-137007-D-1;M-JXB2-137060-B-1;M-JXB2-137059-B-1;M-JXB2-137013-C-1;M-JXB2-137048-A-1;3510V1.5-1/M-JXB2-138003-D-1,坐标系5,基准轴4,joint4,revolute,0,0,0,-1.5708,0,3.1416,Link3,0,0,0,0,0,0,0,,,,,,,,
Link5,0.000247508903624559,-0.000503952827460075,-0.103181107893683,0,0,0,0.26290365411796,0.000286471020887866,2.42735542088078E-07,-7.39872687538375E-07,0.000256499213556085,-2.34620347411223E-06,8.48655617655643E-05,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link5.STL,0.592156862745098,0.619607843137255,0.650980392156863,1,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link5.STL,,M-JXB2-137015-C-1;M-JXB2-137049-B-1;3510V1.5-4/M-JXB2-138001-C-1;M-JXB2-137051-B-1;M-JXB2-137027-C-1;M-JXB2-137062-C-1;M-JXB2-137061-C-1,坐标系6,基准轴5,joint5,revolute,0,-0.27001,0,1.5708,-1.5708,0,Link4,0,0,0,0,0,0,0,,,,,,,,
Link6,7.76985979518141E-05,0.00155428293865652,-0.000196698394733047,0,0,0,0.0346374690978017,5.41014573027983E-06,-2.53158407563903E-08,-5.77076135193377E-08,9.75643100389665E-06,3.4010295821093E-08,5.56054302578999E-06,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link6.STL,,M-JXB2-137032-A-1;3510V1.5-3/M-JXB2-138003-D-1;3510V1.5-3/M-JXB2-138001-C-1;M-JXB2-137028-C-1;M-JXB2-137031-C-3;M-JXB2-137031-C-1,坐标系7,基准轴6,joint6,revolute,0,0,0,1.5708,-1.5708,0,Link5,0,0,-1,0,0,0,0,,,,,,,,
Link7,-0.000139607625717852,-0.000102022251390804,-0.00275209775972314,0,0,0,0.00232665325657446,9.44277513776404E-08,-3.07406565085618E-24,-5.21148689611849E-10,9.44244711276097E-08,2.55388843335658E-22,1.77221804908522E-07,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://NERO20251209URDF/meshes/Link7.STL,,3510V1.5-3/M-JXB2-138005-B-1,坐标系8,基准轴7,joint7,revolute,0,-0.0235,0,1.5708,0,0,Link6,0,0,0,0,0,0,0,,,,,,,,
